Timestamp,Age,Gender,Is advertisement necessary to attract the consumers?,Is print advertisement (Newspaper etc)to be necessary?,Is the outdoor/street advertising relevance to Your daily life?,"Is outdoor/street advertisement poorly displayed, that's why not attractive? ","In this competition market, any product can’t survive without advertisement?",Do You buy the goods when you feel its necessary/needed?,Is restrictive advertisement also attract your mind and convince you.,Is advertisement a source of pleasure & entertainment? ,Do You think that television commercials have vast coverage than anything else?,Is advertisement always an influence & dominate You?,Do You like to buy the goods for dominance & increase the standard of living in society?,"Is advertisement create the awareness, so that You prefer to buy the low priced goods?",Is advertisement convince You to buy the same brands? ,"Is the FMCG Co. should give ads, for brand recall in Your mind?",Is your participation in purchasing influenced by friends & family? ,Is advertisement stimulate or encourage You to purchase the products?,Is advertisement always influence Your buying habits?,"Is advertisement motivate you, to shift from one brand to another brand? "
6/8/2021 15:43:41,,,,,,,,,,,,,,,,,,,,
6/8/2021 16:48:36,25-34,Female,Yes,Maybe,No,Yes,Yes,Yes,Yes,No,Maybe,No,Maybe,Yes,No,No,Yes,Maybe,No,No
6/8/2021 18:54:26,18-24,Male,Yes,Maybe,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
6/8/2021 18:59:34,25-34,Male,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Maybe,Maybe,Yes
6/8/2021 19:02:48,18-24,Male,,,,,,,,,,,,,,,,,,
6/8/2021 19:02:58,18-24,Male,Yes,No,Yes,Maybe,Yes,Yes,No,No,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,Yes
6/8/2021 19:09:36,25-34,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Maybe,Yes,Maybe,Maybe,No,Maybe,Yes,Yes,Maybe,Maybe,No
6/8/2021 19:13:13,18-24,Female,Yes,Maybe,Yes,Maybe,Yes,Maybe,Maybe,Maybe,No,Yes,Maybe,No,Yes,Maybe,Yes,Yes,Yes,Yes
6/8/2021 19:13:33,18-24,Male,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,No,Maybe,Yes,Yes,No,Yes,Maybe,No,Yes
6/8/2021 19:16:20,18-24,Female,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Yes,Yes,Maybe,Maybe
6/8/2021 19:16:34,18-24,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
6/8/2021 19:58:58,18-24,Male,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,No,Maybe,No,No,Maybe,No,Maybe,Maybe,Yes,No,Maybe
6/8/2021 19:59:25,18-24,Male,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe,Yes,Yes,Yes,Maybe,No
6/8/2021 20:25:53,18-24,Female,Yes,No,Maybe,Maybe,Yes,Yes,No,Yes,Yes,No,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe,Yes
6/8/2021 21:53:13,25-34,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Maybe,No,Yes,No,Yes,No,Yes
6/8/2021 21:56:08,18-24,Male,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes
6/8/2021 21:59:16,25-34,Female,Yes,Yes,No,Yes,Maybe,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Yes,Maybe,Yes,Yes,Yes
6/8/2021 22:17:53,25-34,Female,Yes,No,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Yes,No,No,No,Yes,Maybe,No,No,No,Maybe
6/8/2021 22:38:40,25-34,Male,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
6/8/2021 22:41:33,18-24,Male,Yes,Maybe,No,Maybe,Yes,Yes,Yes,Yes,Yes,No,No,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes
6/8/2021 22:57:28,18-24,Female,Yes,Yes,Yes,No,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe
6/8/2021 22:57:57,18-24,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No
6/8/2021 22:59:57,25-34,Male,Yes,Maybe,Yes,No,Yes,Yes,No,Maybe,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
6/8/2021 23:10:15,25-34,Male,,,,,,,,,,,,,,,,,,
6/8/2021 23:12:41,25-34,Male,No,No,Maybe,Maybe,Maybe,Yes,No,No,Maybe,Maybe,Maybe,Yes,Maybe,No,Maybe,No,No,No
6/8/2021 23:47:06,18-24,Female,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,Yes,Yes,No,Yes,Maybe,No,Maybe,Maybe
6/9/2021 0:18:27,18-24,Female,Yes,Yes,Maybe,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6/9/2021 3:48:02,18-24,Male,Yes,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,No,No,Maybe,Maybe,Yes,Yes,Yes,No,Maybe
6/9/2021 6:37:27,18-24,Male,Yes,No,No,Yes,Yes,Yes,Maybe,No,Yes,No,No,No,Yes,Maybe,Yes,Yes,No,Maybe
6/9/2021 15:46:28,18-24,Male,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes
6/9/2021 20:33:28,25-34,Female,Maybe,Yes,Maybe,No,Yes,Yes,Maybe,Yes,Yes,No,No,Maybe,No,No,No,No,No,Yes
6/9/2021 23:06:37,18-24,Male,Yes,No,No,Yes,Yes,Yes,Maybe,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
6/12/2021 13:47:56,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Maybe,Yes,No,No,Maybe,No,Maybe,No,Maybe,No,Maybe
6/12/2021 15:08:37,18-24,Male,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
6/12/2021 15:11:12,25-34,Male,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
6/12/2021 15:15:31,18-24,Male,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,Yes,Maybe,No,No,Yes,Maybe,Yes,Maybe,Yes,No,Maybe
6/12/2021 16:37:19,18-24,Male,Yes,Yes,Yes,Maybe,No,Yes,No,No,Yes,No,Yes,Yes,Maybe,No,No,Maybe,Maybe,Maybe
6/12/2021 19:21:49,18-24,Male,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Yes,Maybe,Maybe,Maybe,Yes,No,Yes,Maybe,Yes,Yes,Yes
6/12/2021 19:54:49,18-24,Male,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Yes,Maybe,Maybe,Maybe,Yes,No,Yes,Maybe,Yes,Yes,Yes
6/12/2021 20:18:00,25-34,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes
6/12/2021 20:34:26,25-34,Male,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
6/13/2021 0:25:52,18-24,Female,Yes,Yes,Maybe,Yes,No,Yes,Maybe,Maybe,Yes,No,No,Yes,No,Yes,Maybe,Maybe,No,Maybe
6/13/2021 15:33:47,above 34,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Maybe,Maybe,Yes,Maybe,No,Yes,Maybe,Maybe,Maybe
6/13/2021 19:28:04,18-24,Male,Maybe,Maybe,Maybe,Maybe,No,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,Yes
6/13/2021 19:32:33,25-34,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6/13/2021 19:39:37,Below 18,Male,Maybe,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Maybe,Yes,No,No,Yes
6/13/2021 19:42:17,18-24,Female,Maybe,Yes,Yes,Maybe,Yes,Yes,Yes,No,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,No,Yes
6/13/2021 20:09:17,18-24,Male,Yes,Yes,No,No,No,Yes,No,Maybe,Yes,No,No,No,No,No,Yes,No,No,No
6/19/2021 12:04:42,18-24,Female,Yes,No,No,Maybe,Yes,Yes,No,Maybe,Yes,Maybe,Yes,Maybe,Maybe,Yes,Maybe,Maybe,No,No
6/21/2021 13:46:39,25-34,Female,Maybe,Maybe,No,No,Maybe,Yes,No,No,No,No,No,No,Yes,Maybe,Yes,Yes,No,No
6/23/2021 13:20:08,18-24,Male,Yes,No,Yes,Yes,No,Maybe,Yes,Maybe,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
6/24/2021 21:42:36,25-34,Female,Yes,Maybe,Yes,No,Maybe,Maybe,Maybe,No,Maybe,Maybe,Yes,No,Maybe,Maybe,Maybe,Yes,Maybe,Maybe
6/25/2021 2:37:46,25-34,Female,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,Yes,No,Maybe,Maybe,Yes,Maybe,Yes,Yes,Maybe,Maybe,Maybe
6/25/2021 9:32:33,25-34,Female,Yes,Maybe,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Maybe,No,Yes,Yes,Yes,No,Maybe
6/25/2021 11:14:57,25-34,Female,Yes,No,Maybe,Maybe,Yes,Yes,No,Maybe,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6/25/2021 11:57:48,18-24,Male,Yes,Maybe,Maybe,Yes,Maybe,Yes,Maybe,Yes,No,Maybe,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
6/28/2021 19:27:56,25-34,Male,Yes,Yes,No,Maybe,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Yes,Yes,No,Yes,Yes,Yes,Yes
6/28/2021 20:04:37,above 34,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6/28/2021 21:06:23,18-24,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,No,No,Yes,No,No,No,Maybe,No,Maybe
6/28/2021 21:17:22,Below 18,Female,Maybe,Yes,Maybe,No,Yes,Yes,,No,Yes,Maybe,Yes,Yes,Yes,,Yes,Yes,No,Yes
6/28/2021 21:41:19,25-34,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No
6/29/2021 23:33:44,18-24,Male,Yes,No,No,Yes,Maybe,Yes,Yes,Yes,No,Maybe,Yes,,,,Yes,Yes,Maybe,Yes
6/29/2021 23:39:20,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Maybe
6/29/2021 23:39:28,25-34,Female,Yes,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Yes,Yes,Yes,Maybe,Maybe
6/29/2021 23:47:42,18-24,Male,Yes,Maybe,Maybe,Maybe,Yes,Yes,Yes,No,Yes,Yes,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes
6/29/2021 23:51:50,25-34,Female,Maybe,Yes,Maybe,No,Yes,Yes,No,No,Maybe,Maybe,No,No,No,Yes,No,Maybe,No,No
6/30/2021 0:02:24,25-34,Male,Yes,Maybe,Yes,Maybe,Yes,Yes,,,,,,,,,,,,
6/30/2021 15:19:24,,,,,,,,,,,,,,,,,,,,
7/2/2021 22:26:44,18-24,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Maybe,Yes,Yes
7/3/2021 17:12:48,18-24,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Maybe,Yes,Yes
7/3/2021 23:56:30,25-34,Male,Yes,No,Yes,No,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Yes,No,No
7/4/2021 18:49:46,18-24,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7/4/2021 18:50:12,18-24,Female,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes
